17:38:26.672 === PROOF LOOP START ===
17:41:02.836 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:04.600 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:06.618 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:08.262 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:14.716 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:17.236 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:19.060 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:20.787 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:22.952 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:24.649 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:26.955 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:31.753 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:33.733 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:35.906 AUTH=FAIL(timeout/conn) PROD=200 CART=SKIP ORD=SKIP PAY=SKIP
17:41:57.051 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:41:59.677 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:01.519 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:04.659 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:09.194 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:10.941 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:12.559 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:14.078 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:15.900 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:17.564 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:19.326 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:21.452 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:22.971 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:24.588 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:26.477 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:29.347 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:31.215 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:33.471 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:35.466 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:40.771 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:42.911 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:44.776 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:46.415 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:48.116 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:49.750 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:51.588 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:53.350 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:54.891 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:56.626 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:42:58.448 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:00.733 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:02.663 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:09.503 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:12.277 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:15.827 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:18.716 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:22.964 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:25.757 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:28.570 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:33.975 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:35.991 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:39.024 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:41.593 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:45.902 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:50.464 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:53.528 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:43:58.068 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:02.715 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:04.661 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:07.801 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:10.679 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:13.149 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:16.878 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:25.481 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:29.719 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:33.401 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:37.889 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:41.469 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:44.151 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:46.658 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:48.138 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:50.617 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:52.248 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:53.742 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:55.221 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:56.686 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:44:59.811 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:01.259 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:02.749 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:04.245 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:05.787 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:07.283 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:09.029 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:11.032 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:12.443 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:13.861 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:15.443 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:16.938 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:19.274 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:21.297 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:23.185 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:25.659 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:28.745 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:37.217 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:40.296 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:42.580 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:45.066 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:48.713 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:50.955 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:45:56.390 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:01.765 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:04.463 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:06.351 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:09.065 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:15.719 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:18.833 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:22.089 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:26.631 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:31.820 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:35.482 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:39.869 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:43.942 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:49.310 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:51.070 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:52.590 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:54.247 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:55.772 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:57.238 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:46:59.588 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:02.732 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:04.121 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:05.770 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:07.251 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:08.978 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:10.660 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:12.099 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:13.524 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:15.090 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:16.745 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:19.032 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:20.899 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:22.584 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:24.177 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:25.608 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:27.016 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:28.653 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:30.325 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:31.856 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:33.325 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:35.170 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:36.666 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:38.253 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:39.891 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:41.410 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:42.779 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:44.181 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:46.019 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:47.519 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:50.571 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:53.000 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:55.496 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:47:58.513 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:00.829 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:03.206 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:05.273 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:09.451 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:13.509 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:16.555 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:19.587 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:23.320 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:26.756 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:32.162 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:37.075 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:39.339 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:41.900 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:43.928 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:46.100 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:48.040 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:49.573 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:51.206 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:52.679 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:54.083 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:55.562 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:57.833 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:48:59.737 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:01.461 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:03.455 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:04.937 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:06.571 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:08.069 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:09.615 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:11.222 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:12.596 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:13.984 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:15.511 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:17.080 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:19.061 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:20.499 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:21.894 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:23.494 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:24.954 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:26.461 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:27.896 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:29.713 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:31.384 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:32.834 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:34.352 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:36.164 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:37.819 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:39.375 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:40.940 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:42.346 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:44.820 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:46.277 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:48.757 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:52.100 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:56.069 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:49:59.461 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:04.050 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:08.626 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:12.612 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:15.177 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:17.836 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:21.271 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:23.388 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:26.541 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:33.521 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:37.326 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:41.827 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:45.414 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:48.170 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:49.846 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:53.110 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:56.222 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:50:59.753 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:01.897 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:03.645 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:05.427 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:06.930 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:08.284 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:09.736 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:11.211 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:12.649 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:14.313 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:16.302 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:17.974 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:19.741 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:21.471 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:23.609 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:25.241 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:26.803 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:28.286 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:29.846 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:31.446 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:32.928 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:35.393 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:37.047 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:38.464 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:40.130 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:42.061 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:43.852 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:46.282 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:48.426 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:50.570 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:52.438 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:54.323 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:56.025 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:57.601 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:51:59.097 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:00.633 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:02.471 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:04.230 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:06.176 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:07.686 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:09.196 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:10.651 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:12.287 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:13.762 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:15.407 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:17.013 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:18.429 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:19.849 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:21.309 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:22.793 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:24.446 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:26.043 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:27.447 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:29.008 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:30.737 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:32.234 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:33.875 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:35.437 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:36.868 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:38.301 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:39.739 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:41.107 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
17:52:42.547 AUTH=200 PROD=200 CART=200 ORD=200 PAY=403ok
